x y u v p
0 32.5 -2.48383e-36 -2.58691e-36 9.31331e-05
0.333333 32.5 5.92502e-37 -5.17541e-36 9.31557e-05
2.33333 32.5 5.68407e-37 -5.08215e-36 9.14787e-05
1.33333 32.5 5.97757e-37 -5.14225e-36 9.25597e-05
1.5 32.5 5.95477e-37 -5.13291e-36 9.23918e-05
1.66667 32.5 5.9213e-37 -5.12307e-36 9.22149e-05
1.16667 32.5 5.99e-37 -5.15093e-36 9.27157e-05
2.5 32.5 5.6006e-37 -5.07217e-36 9.12993e-05
2.66667 32.5 5.50792e-37 -5.06247e-36 9.1125e-05
5.16667 32.5 3.28167e-37 -4.99707e-36 8.99482e-05
5.33333 32.5 3.0941e-37 -5.00016e-36 9.00038e-05
5.5 32.5 2.90399e-37 -5.00439e-36 9.00803e-05
5.66667 32.5 2.71168e-37 -5.00977e-36 9.01772e-05
5.83333 32.5 2.51796e-37 -5.01634e-36 9.02957e-05
0.166667 32.5 5.9071e-37 -5.17483e-36 9.31464e-05
0.0990655 32.5939 9.98079e-06 -2.70934e-09 9.31329e-05
0 32.679 1.90214e-05 -5.62855e-40 9.31125e-05
0.419107 32.628 1.36647e-05 -1.69288e-08 9.31224e-05
0.5 32.5 5.94813e-37 -5.17389e-36 9.3128e-05
0.259054 32.6551 1.65116e-05 -2.03697e-08 9.31329e-05
2.16667 32.5 5.75809e-37 -5.09236e-36 9.16625e-05
2.39489 32.6499 1.51389e-05 9.89847e-08 9.15443e-05
2.24908 32.6504 1.53756e-05 9.01381e-08 9.16911e-05
1.38663 32.6436 1.53402e-05 2.53268e-08 9.25443e-05
1.2178 32.6535 1.64417e-05 1.6457e-08 9.2693e-05
1.57207 32.6369 1.45479e-05 3.43605e-08 9.23673e-05
1.83333 32.5 5.87706e-37 -5.11293e-36 9.20325e-05
1.75578 32.6348 1.42179e-05 4.42732e-08 9.21842e-05
1.06678 32.6312 1.40895e-05 3.60934e-09 9.28084e-05
1 32.5 5.99225e-37 -5.15864e-36 9.2854e-05
2.56279 32.6462 1.45491e-05 1.04645e-07 9.13749e-05
2.70724 32.6561 1.52909e-05 1.28715e-07 9.12475e-05
2.83333 32.5 5.40657e-37 -5.05318e-36 9.0958e-05
5.06958 32.6217 7.44097e-06 1.45308e-07 9.01618e-05
5.23927 32.6283 7.42116e-06 1.64152e-07 9.0224e-05
5 32.5 3.46628e-37 -4.99508e-36 8.99122e-05
5.39225 32.6273 6.97357e-06 1.63607e-07 9.02838e-05
5.534 32.6467 7.62737e-06 2.18967e-07 9.03942e-05
5.7029 32.6544 7.5023e-06 2.44473e-07 9.05149e-05
5.87405 32.6627 7.34128e-06 2.72567e-07 9.06597e-05
6 32.5 2.32326e-37 -5.02412e-36 9.04359e-05
0.130323 32.7543 2.70376e-05 -2.7899e-08 9.31275e-05
3.16667 32.5 5.1801e-37 -5.03589e-36 9.06463e-05
9.83333 32.5 -1.73802e-39 -5.39352e-36 9.70819e-05
10 32.5 2.77794e-36 -2.72009e-36 9.70404e-05
4.33333 32.5 4.16537e-37 -4.99751e-36 8.99561e-05
4.16667 32.5 4.32834e-37 -5.00055e-36 9.00106e-05
4 32.5 4.48601e-37 -5.00448e-36 9.00812e-05
0.833333 32.5 5.98482e-37 -5.16525e-36 9.29722e-05
4.83333 32.5 3.64714e-37 -4.99415e-36 8.98954e-05
2 32.5 5.8225e-37 -5.10266e-36 9.18479e-05
0.666667 32.5 5.96929e-37 -5.17044e-36 9.30655e-05
3 32.5 5.29645e-37 -5.04429e-36 9.07981e-05
0 32.8821 4.06004e-05 -3.7501e-39 9.31136e-05
0.428401 32.7979 3.17627e-05 -7.03006e-08 9.31161e-05
0.582681 32.6608 1.72006e-05 -2.28085e-08 9.30771e-05
0.245467 32.8698 3.93424e-05 -8.28499e-08 9.31408e-05
2.07901 32.6555 1.6092e-05 8.34739e-08 9.18673e-05
2.29689 32.8689 3.72108e-05 5.56418e-07 9.18177e-05
2.4609 32.7911 2.90526e-05 3.86806e-07 9.16045e-05
2.15867 32.7857 2.92299e-05 3.0195e-07 9.1882e-05
1.46438 32.786 3.0323e-05 1.27848e-07 9.25227e-05
1.25002 32.8207 3.41379e-05 9.56606e-08 9.27084e-05
1.05831 32.809 3.29938e-05 3.50295e-08 9.28418e-05
1.67074 32.7841 2.98899e-05 1.78097e-07 9.23383e-05
1.93515 32.6573 1.64254e-05 7.46983e-08 9.20142e-05
1.86306 32.7852 2.9723e-05 2.28002e-07 9.21596e-05
0.914148 32.6747 1.8743e-05 -5.41161e-09 9.29154e-05
2.62053 32.8463 3.39566e-05 5.97521e-07 9.15129e-05
2.79635 32.8159 3.04421e-05 5.44456e-07 9.13323e-05
2.85942 32.6713 1.64926e-05 1.66718e-07 9.11254e-05
4.96366 32.7495 1.57962e-05 5.94446e-07 9.03762e-05
5.15291 32.7602 1.55442e-05 6.59381e-07 9.04429e-05
4.89539 32.6223 7.89001e-06 1.43898e-07 9.01339e-05
5.35762 32.7781 1.55221e-05 7.65203e-07 9.05542e-05
5.55629 32.8118 1.62197e-05 9.71117e-07 9.07213e-05
5.73917 32.8344 1.62158e-05 1.12358e-06 9.08843e-05
5.91943 32.8488 1.56939e-05 1.22666e-06 9.10535e-05
6.04452 32.6676 6.98378e-06 2.89866e-07 9.08193e-05
6.16667 32.5 2.12826e-37 -5.03312e-36 9.0598e-05
3.15732 32.6177 1.09281e-05 8.92537e-08 9.08062e-05
3.33333 32.5 5.05441e-37 -5.02833e-36 9.05112e-05
9.84074 32.6195 -3.58935e-08 -2.68384e-08 9.70409e-05
9.66667 32.5 -6.91511e-39 -5.394e-36 9.70795e-05
10.0015 32.6717 5.73522e-36 -1.03355e-37 9.6973e-05
4.41218 32.6251 9.1886e-06 1.40067e-07 9.01578e-05
4.24289 32.6237 9.45069e-06 1.32753e-07 9.01969e-05
4.5 32.5 3.99706e-37 -4.99542e-36 8.99185e-05
